Entity,Date,Seasonal variation,Combined measurements,Monthly averaged,Annual averaged,monthly_sea_surface_temperature_anomaly,Sea surface temp (lower-bound),Sea surface temp (upper-bound),Monthly pH measurement,Annual average,Temperature anomaly,Church & White,University of Hawaii,Average,arctic_sea_ice_osisaf,Monthly averaged,Annual averaged,Monthly averaged,Annual averaged
World,1858-10-15,,,,,-0.22162,-0.2915,-0.156,,,,,,,,,,,
World,1858-11-15,,,,,-0.27562,-0.349,-0.205,,,,,,,,,,,
World,1858-12-15,,,,,-0.40502,-0.478,-0.3355,,,,,,,,,,,
World,1859-01-15,,,,,-0.36709,-0.4395,-0.296,,,,,,,,,,,
World,1859-02-15,,,,,-0.31828,-0.383,-0.2565,,,,,,,,,,,
World,1859-03-15,,,,,-0.35083,-0.417,-0.2875,,,,,,,,,,,
World,1859-04-15,,,,,-0.16511,-0.2315,-0.102,,,,,,,,,,,
World,1859-05-15,,,,,-0.22342,-0.287,-0.16,,,,,,,,,,,
World,1859-06-15,,,,,-0.22587,-0.2865,-0.165,,,,,,,,,,,
World,1859-07-15,,,,,-0.36582,-0.4265,-0.304,,,,,,,,,,,
World,1859-08-15,,,,,-0.2069,-0.2655,-0.1505,,,,,,,,,,,
World,1859-09-15,,,,,-0.44393,-0.507,-0.3815,,,,,,,,,,,
World,1859-10-15,,,,,-0.26037,-0.328,-0.193,,,,,,,,,,,
World,1859-11-15,,,,,-0.28356,-0.3505,-0.218,,,,,,,,,,,
World,1859-12-15,,,,,-0.1364,-0.2045,-0.0695,,,,,,,,,,,
World,1860-01-15,,,,,-0.17846,-0.2405,-0.117,,,,,,,,,,,
World,1860-02-15,,,,,-0.23669,-0.3045,-0.169,,,,,,,,,,,
World,1860-03-15,,,,,-0.20016,-0.262,-0.1395,,,,,,,,,,,
World,1860-04-15,,,,,-0.21936,-0.2825,-0.156,,,,,,,,,,,
World,1860-05-15,,,,,-0.28384,-0.34,-0.2255,,,,,,,,,,,
World,1860-06-15,,,,,-0.28902,-0.348,-0.2305,,,,,,,,,,,
World,1860-07-15,,,,,-0.26059,-0.314,-0.208,,,,,,,,,,,
World,1860-08-15,,,,,-0.26757,-0.325,-0.2115,,,,,,,,,,,
World,1860-09-15,,,,,-0.12231,-0.182,-0.059,,,,,,,,,,,
World,1860-10-15,,,,,-0.27847,-0.3405,-0.213,,,,,,,,,,,
World,1860-11-15,,,,,-0.26489,-0.3245,-0.203,,,,,,,,,,,
World,1860-12-15,,,,,-0.24107,-0.3065,-0.1725,,,,,,,,,,,
World,1861-01-15,,,,,-0.30068,-0.3625,-0.2355,,,,,,,,,,,
World,1861-02-15,,,,,-0.56882,-0.6275,-0.5085,,,,,,,,,,,
World,1861-03-15,,,,,-0.59085,-0.6505,-0.5295,,,,,,,,,,,
World,1861-04-15,,,,,-0.15795,-0.2185,-0.096,,,,,,,,,,,
World,1861-05-15,,,,,-0.52823,-0.591,-0.463,,,,,,,,,,,
World,1861-06-15,,,,,-0.33718,-0.395,-0.2765,,,,,,,,,,,
World,1861-07-15,,,,,-0.43626,-0.497,-0.372,,,,,,,,,,,
World,1861-08-15,,,,,-0.24761,-0.3075,-0.1865,,,,,,,,,,,
World,1861-09-15,,,,,-0.288,-0.3475,-0.225,,,,,,,,,,,
World,1861-10-15,,,,,-0.34319,-0.4055,-0.2765,,,,,,,,,,,
World,1861-11-15,,,,,-0.29902,-0.3575,-0.2365,,,,,,,,,,,
World,1861-12-15,,,,,-0.2736,-0.3275,-0.2165,,,,,,,,,,,
World,1862-01-15,,,,,-0.45068,-0.507,-0.393,,,,,,,,,,,
World,1862-02-15,,,,,-0.54476,-0.598,-0.4875,,,,,,,,,,,
World,1862-03-15,,,,,-0.35149,-0.4095,-0.291,,,,,,,,,,,
World,1862-04-15,,,,,-0.22309,-0.2825,-0.158,,,,,,,,,,,
World,1862-05-15,,,,,-0.16218,-0.221,-0.101,,,,,,,,,,,
World,1862-06-15,,,,,-0.32514,-0.379,-0.268,,,,,,,,,,,
World,1862-07-15,,,,,-0.3435,-0.398,-0.286,,,,,,,,,,,
World,1862-08-15,,,,,-0.67483,-0.7305,-0.6165,,,,,,,,,,,
World,1862-09-15,,,,,-0.49544,-0.5505,-0.438,,,,,,,,,,,
World,1862-10-15,,,,,-0.30671,-0.3625,-0.2495,,,,,,,,,,,
World,1862-11-15,,,,,-0.42173,-0.4765,-0.3665,,,,,,,,,,,
World,1862-12-15,,,,,-0.46687,-0.5205,-0.411,,,,,,,,,,,
World,1863-01-15,,,,,-0.40598,-0.461,-0.3465,,,,,,,,,,,
World,1863-02-15,,,,,-0.29728,-0.352,-0.2385,,,,,,,,,,,
World,1863-03-15,,,,,-0.21599,-0.275,-0.1485,,,,,,,,,,,
World,1863-04-15,,,,,-0.24056,-0.2995,-0.178,,,,,,,,,,,
World,1863-05-15,,,,,-0.44893,-0.504,-0.3895,,,,,,,,,,,
World,1863-06-15,,,,,-0.40003,-0.4575,-0.3365,,,,,,,,,,,
World,1863-07-15,,,,,-0.32561,-0.3785,-0.2665,,,,,,,,,,,
World,1863-08-15,,,,,-0.31664,-0.373,-0.254,,,,,,,,,,,
World,1863-09-15,,,,,-0.41119,-0.466,-0.3495,,,,,,,,,,,
World,1863-10-15,,,,,-0.25653,-0.3145,-0.1925,,,,,,,,,,,
World,1863-11-15,,,,,-0.35723,-0.417,-0.2925,,,,,,,,,,,
World,1863-12-15,,,,,-0.27198,-0.3265,-0.2115,,,,,,,,,,,
World,1864-01-15,,,,,-0.63624,-0.687,-0.579,,,,,,,,,,,
World,1864-02-15,,,,,-0.57768,-0.6295,-0.52,,,,,,,,,,,
World,1864-03-15,,,,,-0.52768,-0.5805,-0.468,,,,,,,,,,,
World,1864-04-15,,,,,-0.44513,-0.5,-0.381,,,,,,,,,,,
World,1864-05-15,,,,,-0.22121,-0.2735,-0.1605,,,,,,,,,,,
World,1864-06-15,,,,,-0.29662,-0.348,-0.2365,,,,,,,,,,,
World,1864-07-15,,,,,-0.20696,-0.257,-0.1475,,,,,,,,,,,
World,1864-08-15,,,,,-0.3553,-0.405,-0.2975,,,,,,,,,,,
World,1864-09-15,,,,,-0.48193,-0.534,-0.424,,,,,,,,,,,
World,1864-10-15,,,,,-0.39487,-0.447,-0.333,,,,,,,,,,,
World,1864-11-15,,,,,-0.08859,-0.142,-0.0255,,,,,,,,,,,
World,1864-12-15,,,,,-0.19106,-0.243,-0.1295,,,,,,,,,,,
World,1865-01-15,,,,,-0.13545,-0.187,-0.0765,,,,,,,,,,,
World,1865-02-15,,,,,-0.0913,-0.1405,-0.0325,,,,,,,,,,,
World,1865-03-15,,,,,-0.10128,-0.151,-0.0415,,,,,,,,,,,
World,1865-04-15,,,,,-0.11344,-0.1665,-0.05,,,,,,,,,,,
World,1865-05-15,,,,,-0.3277,-0.379,-0.268,,,,,,,,,,,
World,1865-06-15,,,,,-0.24337,-0.292,-0.1845,,,,,,,,,,,
World,1865-07-15,,,,,-0.22369,-0.2745,-0.1625,,,,,,,,,,,
World,1865-08-15,,,,,-0.21187,-0.261,-0.1515,,,,,,,,,,,
World,1865-09-15,,,,,-0.26551,-0.3155,-0.2065,,,,,,,,,,,
World,1865-10-15,,,,,-0.2344,-0.2855,-0.1745,,,,,,,,,,,
World,1865-11-15,,,,,-0.37474,-0.4225,-0.3155,,,,,,,,,,,
World,1865-12-15,,,,,-0.2359,-0.2815,-0.1805,,,,,,,,,,,
World,1866-01-15,,,,,-0.246,-0.295,-0.187,,,,,,,,,,,
World,1866-02-15,,,,,-0.03243,-0.0835,0.031,,,,,,,,,,,
World,1866-03-15,,,,,-0.42051,-0.4725,-0.3555,,,,,,,,,,,
World,1866-04-15,,,,,-0.31759,-0.3665,-0.2555,,,,,,,,,,,
World,1866-05-15,,,,,-0.37466,-0.4235,-0.3135,,,,,,,,,,,
World,1866-06-15,,,,,0.0086,-0.0395,0.0705,,,,,,,,,,,
World,1866-07-15,,,,,-0.06607,-0.1125,-0.0065,,,,,,,,,,,
World,1866-08-15,,,,,-0.18931,-0.2375,-0.1285,,,,,,,,,,,
World,1866-09-15,,,,,-0.34326,-0.3925,-0.283,,,,,,,,,,,
World,1866-10-15,,,,,-0.09531,-0.1455,-0.0345,,,,,,,,,,,
World,1866-11-15,,,,,-0.0837,-0.1325,-0.0235,,,,,,,,,,,
World,1866-12-15,,,,,-0.33273,-0.3795,-0.276,,,,,,,,,,,
World,1867-01-15,,,,,-0.16111,-0.213,-0.0995,,,,,,,,,,,
World,1867-02-15,,,,,-0.25903,-0.305,-0.2,,,,,,,,,,,
World,1867-03-15,,,,,-0.05943,-0.1035,-0.0025,,,,,,,,,,,
World,1867-04-15,,,,,-0.10698,-0.157,-0.045,,,,,,,,,,,
World,1867-05-15,,,,,-0.18413,-0.2295,-0.126,,,,,,,,,,,
World,1867-06-15,,,,,-0.29537,-0.3435,-0.2365,,,,,,,,,,,
World,1867-07-15,,,,,-0.19411,-0.2395,-0.1335,,,,,,,,,,,
World,1867-08-15,,,,,-0.28975,-0.3355,-0.2295,,,,,,,,,,,
World,1867-09-15,,,,,-0.10205,-0.1475,-0.0455,,,,,,,,,,,
World,1867-10-15,,,,,-0.15559,-0.2015,-0.0985,,,,,,,,,,,
World,1867-11-15,,,,,-0.20375,-0.2485,-0.1475,,,,,,,,,,,
World,1867-12-15,,,,,-0.45767,-0.5035,-0.3985,,,,,,,,,,,
World,1868-01-15,,,,,-0.37892,-0.4215,-0.327,,,,,,,,,,,
World,1868-02-15,,,,,-0.23183,-0.277,-0.177,,,,,,,,,,,
World,1868-03-15,,,,,-0.00957,-0.0555,0.0505,,,,,,,,,,,
World,1868-04-15,,,,,-0.15947,-0.2075,-0.0985,,,,,,,,,,,
World,1868-05-15,,,,,-0.26325,-0.3115,-0.203,,,,,,,,,,,
World,1868-06-15,,,,,-0.46224,-0.506,-0.4035,,,,,,,,,,,
World,1868-07-15,,,,,-0.12318,-0.167,-0.0645,,,,,,,,,,,
World,1868-08-15,,,,,-0.19507,-0.2405,-0.1345,,,,,,,,,,,
World,1868-09-15,,,,,-0.15602,-0.1975,-0.102,,,,,,,,,,,
World,1868-10-15,,,,,-0.27803,-0.321,-0.2225,,,,,,,,,,,
World,1868-11-15,,,,,-0.16437,-0.2045,-0.1135,,,,,,,,,,,
World,1868-12-15,,,,,-0.17127,-0.213,-0.1165,,,,,,,,,,,
World,1869-01-15,,,,,-0.33133,-0.372,-0.278,,,,,,,,,,,
World,1869-02-15,,,,,-0.13667,-0.182,-0.075,,,,,,,,,,,
World,1869-03-15,,,,,-0.38526,-0.4305,-0.3255,,,,,,,,,,,
World,1869-04-15,,,,,-0.14127,-0.186,-0.0815,,,,,,,,,,,
World,1869-05-15,,,,,-0.26915,-0.311,-0.212,,,,,,,,,,,
World,1869-06-15,,,,,-0.39402,-0.436,-0.339,,,,,,,,,,,
World,1869-07-15,,,,,-0.33942,-0.38,-0.2855,,,,,,,,,,,
World,1869-08-15,,,,,-0.20591,-0.248,-0.1515,,,,,,,,,,,
World,1869-09-15,,,,,-0.28885,-0.332,-0.2345,,,,,,,,,,,
World,1869-10-15,,,,,-0.30315,-0.345,-0.2505,,,,,,,,,,,
World,1869-11-15,,,,,-0.26869,-0.3125,-0.2145,,,,,,,,,,,
World,1869-12-15,,,,,-0.34312,-0.3875,-0.286,,,,,,,,,,,
World,1870-01-15,,,,,-0.19645,-0.238,-0.144,,,,,,,,,,,
World,1870-02-15,,,,,-0.2119,-0.255,-0.156,,,,,,,,,,,
World,1870-03-15,,,,,-0.22638,-0.2695,-0.1685,,,,,,,,,,,
World,1870-04-15,,,,,-0.1125,-0.1565,-0.054,,,,,,,,,,,
World,1870-05-15,,,,,-0.2918,-0.3335,-0.2335,,,,,,,,,,,
World,1870-06-15,,,,,-0.31429,-0.354,-0.26,,,,,,,,,,,
World,1870-07-15,,,,,-0.11498,-0.152,-0.0635,,,,,,,,,,,
World,1870-08-15,,,,,-0.15846,-0.198,-0.1045,,,,,,,,,,,
World,1870-09-15,,,,,-0.29978,-0.34,-0.247,,,,,,,,,,,
World,1870-10-15,,,,,-0.33005,-0.376,-0.2715,,,,,,,,,,,
World,1870-11-15,,,,,-0.22773,-0.2735,-0.1685,,,,,,,,,,,
World,1870-12-15,,,,,-0.22395,-0.267,-0.1685,,,,,,,,,,,
World,1871-01-15,,,,,-0.21988,-0.26,-0.1655,,,,,,,,,,,
World,1871-02-15,,,,,-0.21992,-0.2615,-0.163,,,,,,,,,,,
World,1871-03-15,,,,,-0.07199,-0.1145,-0.0135,,,,,,,,,,,
World,1871-04-15,,,,,-0.15787,-0.199,-0.1045,,,,,,,,,,,
World,1871-05-15,,,,,-0.19094,-0.231,-0.1365,,,,,,,,,,,
World,1871-06-15,,,,,-0.20769,-0.246,-0.156,,,,,,,,,,,
World,1871-07-15,,,,,-0.07306,-0.1105,-0.022,,,,,,,,,,,
World,1871-08-15,,,,,-0.33657,-0.3735,-0.289,,,,,,,,,,,
World,1871-09-15,,,,,-0.38434,-0.425,-0.332,,,,,,,,,,,
World,1871-10-15,,,,,-0.47208,-0.514,-0.418,,,,,,,,,,,
World,1871-11-15,,,,,-0.17566,-0.2125,-0.128,,,,,,,,,,,
World,1871-12-15,,,,,-0.27073,-0.309,-0.2215,,,,,,,,,,,
World,1872-01-15,,,,,-0.32384,-0.359,-0.2765,,,,,,,,,,,
World,1872-02-15,,,,,-0.31505,-0.356,-0.2615,,,,,,,,,,,
World,1872-03-15,,,,,-0.41889,-0.458,-0.366,,,,,,,,,,,
World,1872-04-15,,,,,-0.28215,-0.3215,-0.229,,,,,,,,,,,
World,1872-05-15,,,,,-0.16965,-0.2095,-0.112,,,,,,,,,,,
World,1872-06-15,,,,,-0.27909,-0.3175,-0.224,,,,,,,,,,,
World,1872-07-15,,,,,-0.14416,-0.182,-0.09,,,,,,,,,,,
World,1872-08-15,,,,,-0.07189,-0.1095,-0.0215,,,,,,,,,,,
World,1872-09-15,,,,,-0.17422,-0.213,-0.1215,,,,,,,,,,,
World,1872-10-15,,,,,-0.3011,-0.343,-0.245,,,,,,,,,,,
World,1872-11-15,,,,,-0.16249,-0.205,-0.104,,,,,,,,,,,
World,1872-12-15,,,,,-0.29187,-0.331,-0.2385,,,,,,,,,,,
World,1873-01-15,,,,,-0.07495,-0.114,-0.0235,,,,,,,,,,,
World,1873-02-15,,,,,-0.30414,-0.343,-0.2535,,,,,,,,,,,
World,1873-03-15,,,,,-0.21247,-0.252,-0.161,,,,,,,,,,,
World,1873-04-15,,,,,-0.29647,-0.336,-0.247,,,,,,,,,,,
World,1873-05-15,,,,,-0.31122,-0.3505,-0.2605,,,,,,,,,,,
World,1873-06-15,,,,,-0.42244,-0.459,-0.3745,,,,,,,,,,,
World,1873-07-15,,,,,-0.20728,-0.2475,-0.157,,,,,,,,,,,
World,1873-08-15,,,,,-0.23584,-0.2735,-0.1865,,,,,,,,,,,
World,1873-09-15,,,,,-0.35215,-0.393,-0.302,,,,,,,,,,,
World,1873-10-15,,,,,-0.40112,-0.443,-0.35,,,,,,,,,,,
World,1873-11-15,,,,,-0.33701,-0.3765,-0.288,,,,,,,,,,,
World,1873-12-15,,,,,-0.38223,-0.4235,-0.3315,,,,,,,,,,,
World,1874-01-15,,,,,-0.22467,-0.2635,-0.1785,,,,,,,,,,,
World,1874-02-15,,,,,-0.47522,-0.516,-0.425,,,,,,,,,,,
World,1874-03-15,,,,,-0.41832,-0.4595,-0.368,,,,,,,,,,,
World,1874-04-15,,,,,-0.44464,-0.487,-0.394,,,,,,,,,,,
World,1874-05-15,,,,,-0.33629,-0.377,-0.2865,,,,,,,,,,,
World,1874-06-15,,,,,-0.5655,-0.604,-0.518,,,,,,,,,,,
World,1874-07-15,,,,,-0.19331,-0.2325,-0.1455,,,,,,,,,,,
World,1874-08-15,,,,,-0.40979,-0.449,-0.362,,,,,,,,,,,
World,1874-09-15,,,,,-0.28017,-0.32,-0.2315,,,,,,,,,,,
World,1874-10-15,,,,,-0.52547,-0.5685,-0.4735,,,,,,,,,,,
World,1874-11-15,,,,,-0.40593,-0.4505,-0.352,,,,,,,,,,,
World,1874-12-15,,,,,-0.42122,-0.466,-0.367,,,,,,,,,,,
World,1875-01-15,,,,,-0.28572,-0.33,-0.2315,,,,,,,,,,,
World,1875-02-15,,,,,-0.17258,-0.2175,-0.1175,,,,,,,,,,,
World,1875-03-15,,,,,-0.31089,-0.353,-0.2595,,,,,,,,,,,
World,1875-04-15,,,,,-0.26867,-0.311,-0.2165,,,,,,,,,,,
World,1875-05-15,,,,,-0.17531,-0.213,-0.128,,,,,,,,,,,
World,1875-06-15,,,,,-0.2782,-0.314,-0.2315,,,,,,,,,,,
World,1875-07-15,,,,,-0.34809,-0.3845,-0.302,,,,,,,,,,,
World,1875-08-15,,,,,-0.16317,-0.199,-0.1195,,,,,,,,,,,
World,1875-09-15,,,,,-0.10691,-0.146,-0.055,,,,,,,,,,,
World,1875-10-15,,,,,-0.15251,-0.1955,-0.0955,,,,,,,,,,,
World,1875-11-15,,,,,-0.21895,-0.264,-0.16,,,,,,,,,,,
World,1875-12-15,,,,,-0.41682,-0.46,-0.363,,,,,,,,,,,
World,1876-01-15,,,,,-0.3884,-0.433,-0.3365,,,,,,,,,,,
World,1876-02-15,,,,,-0.29686,-0.343,-0.2435,,,,,,,,,,,
World,1876-03-15,,,,,-0.3001,-0.346,-0.248,,,,,,,,,,,
World,1876-04-15,,,,,-0.30382,-0.3505,-0.2495,,,,,,,,,,,
World,1876-05-15,,,,,-0.44785,-0.4895,-0.3995,,,,,,,,,,,
World,1876-06-15,,,,,-0.41942,-0.4595,-0.376,,,,,,,,,,,
World,1876-07-15,,,,,-0.25468,-0.2935,-0.213,,,,,,,,,,,
World,1876-08-15,,,,,-0.29607,-0.335,-0.2505,,,,,,,,,,,
World,1876-09-15,,,,,-0.48012,-0.524,-0.429,,,,,,,,,,,
World,1876-10-15,,,,,-0.35437,-0.398,-0.3,,,,,,,,,,,
World,1876-11-15,,,,,-0.33098,-0.3795,-0.2745,,,,,,,,,,,
World,1876-12-15,,,,,-0.27948,-0.3245,-0.227,,,,,,,,,,,
World,1877-01-15,,,,,-0.35901,-0.4055,-0.3105,,,,,,,,,,,
World,1877-02-15,,,,,0.08641,0.038,0.1395,,,,,,,,,,,
World,1877-03-15,,,,,-0.09625,-0.1435,-0.045,,,,,,,,,,,
World,1877-04-15,,,,,-0.09304,-0.1385,-0.044,,,,,,,,,,,
World,1877-05-15,,,,,-0.29239,-0.3355,-0.246,,,,,,,,,,,
World,1877-06-15,,,,,-0.09853,-0.1385,-0.056,,,,,,,,,,,
World,1877-07-15,,,,,-0.04345,-0.0835,-0.0015,,,,,,,,,,,
World,1877-08-15,,,,,0.088,0.048,0.1315,,,,,,,,,,,
World,1877-09-15,,,,,0.08678,0.0445,0.1325,,,,,,,,,,,
